filename,relpath,can_decode,fps,frames,duration_sec,width,height,type,subject_id,label,t_start_sec,t_end_sec,f_start,f_end,needs_fps_fix,needs_resize,standardize,std_relpath,split
d_1.mp4,data\raw\SUST-DDD\SUST Driver Drowsiness Dataset\drowsiness\d_1.mp4,1,30.0,300,10.0,720,1280,video,Unknown_d_1,Unknown,0.0,10.0,0,300,True,False,True,data\processed\videos_std\d_1.mp4,test
d_10.mp4,data\raw\SUST-DDD\SUST Driver Drowsiness Dataset\drowsiness\d_10.mp4,1,30.0,300,10.0,720,1280,video,Unknown_d_10,Unknown,0.0,10.0,0,300,True,False,True,data\processed\videos_std\d_10.mp4,train
d_100.mp4,data\raw\SUST-DDD\SUST Driver Drowsiness Dataset\drowsiness\d_100.mp4,1,25.0,250,10.0,720,1280,video,Unknown_d_100,Unknown,0.0,10.0,0,250,False,False,False,data\processed\videos_std\d_100.mp4,train
d_101.mp4,data\raw\SUST-DDD\SUST Driver Drowsiness Dataset\drowsiness\d_101.mp4,1,25.0,250,10.0,720,1280,video,Unknown_d_101,Unknown,0.0,10.0,0,250,False,False,False,data\processed\videos_std\d_101.mp4,train
d_102.mp4,data\raw\SUST-DDD\SUST Driver Drowsiness Dataset\drowsiness\d_102.mp4,1,25.0,250,10.0,720,1280,video,Unknown_d_102,Unknown,0.0,10.0,0,250,False,False,False,data\processed\videos_std\d_102.mp4,val
A0001.png,data\raw\DriverDrowsinessDataset\Driver Drowsiness Dataset (DDD)\Drowsy\A0001.png,1,0.0,1,0.0,227,227,image,Unknown_A0001,drowsy,0.0,0.0,0,1,True,True,True,data\processed\videos_std\A0001.png,train
A0002.png,data\raw\DriverDrowsinessDataset\Driver Drowsiness Dataset (DDD)\Drowsy\A0002.png,1,0.0,1,0.0,227,227,image,Unknown_A0002,drowsy,0.0,0.0,0,1,True,True,True,data\processed\videos_std\A0002.png,train
A0003.png,data\raw\DriverDrowsinessDataset\Driver Drowsiness Dataset (DDD)\Drowsy\A0003.png,1,0.0,1,0.0,227,227,image,Unknown_A0003,drowsy,0.0,0.0,0,1,True,True,True,data\processed\videos_std\A0003.png,val
A0004.png,data\raw\DriverDrowsinessDataset\Driver Drowsiness Dataset (DDD)\Drowsy\A0004.png,1,0.0,1,0.0,227,227,image,Unknown_A0004,drowsy,0.0,0.0,0,1,True,True,True,data\processed\videos_std\A0004.png,train
A0005.png,data\raw\DriverDrowsinessDataset\Driver Drowsiness Dataset (DDD)\Drowsy\A0005.png,1,0.0,1,0.0,227,227,image,Unknown_A0005,drowsy,0.0,0.0,0,1,True,True,True,data\processed\videos_std\A0005.png,train
P1042787_720.mp4,data\raw\DSM_Dataset-HDTV720\Microsleep\Female\HDTV720\P1042787_720.mp4,1,25.0,3288,131.52,1280,720,video,Female_P1042787_720,microsleep,0.0,131.52,0,3288,False,False,False,data\processed\videos_std\P1042787_720.mp4,train
P1043067_720.mp4,data\raw\DSM_Dataset-HDTV720\Microsleep\Female\HDTV720\P1043067_720.mp4,1,25.0,3285,131.4,1280,720,video,Female_P1043067_720,microsleep,0.0,131.4,0,3285,False,False,False,data\processed\videos_std\P1043067_720.mp4,train
P1043068_720.mp4,data\raw\DSM_Dataset-HDTV720\Microsleep\Female\HDTV720\P1043068_720.mp4,1,25.0,3665,146.6,1280,720,video,Female_P1043068_720,microsleep,0.0,146.6,0,3665,False,False,False,data\processed\videos_std\P1043068_720.mp4,train
P1043089_720.mp4,data\raw\DSM_Dataset-HDTV720\Microsleep\Female\HDTV720\P1043089_720.mp4,1,25.0,3120,124.8,1280,720,video,Female_P1043089_720,microsleep,0.0,124.8,0,3120,False,False,False,data\processed\videos_std\P1043089_720.mp4,train
P1043106_720.mp4,data\raw\DSM_Dataset-HDTV720\Microsleep\Female\HDTV720\P1043106_720.mp4,1,25.0,3100,124.0,1280,720,video,Female_P1043106_720,microsleep,0.0,124.0,0,3100,False,False,False,data\processed\videos_std\P1043106_720.mp4,test
P1042777_720.mp4,data\raw\DSM_Dataset-HDTV720\Yawning\Female\HDTV720\P1042777_720.mp4,1,25.0,3118,124.72,1280,720,video,Female_P1042777_720,yawning,0.0,124.72,0,3118,False,False,False,data\processed\videos_std\P1042777_720.mp4,train
P1042778_720.mp4,data\raw\DSM_Dataset-HDTV720\Yawning\Female\HDTV720\P1042778_720.mp4,1,25.0,1490,59.6,1280,720,video,Female_P1042778_720,yawning,0.0,59.6,0,1490,False,False,False,data\processed\videos_std\P1042778_720.mp4,val
P1042779_720.mp4,data\raw\DSM_Dataset-HDTV720\Yawning\Female\HDTV720\P1042779_720.mp4,1,25.0,1090,43.6,1280,720,video,Female_P1042779_720,yawning,0.0,43.6,0,1090,False,False,False,data\processed\videos_std\P1042779_720.mp4,train
P1042780_720.mp4,data\raw\DSM_Dataset-HDTV720\Yawning\Female\HDTV720\P1042780_720.mp4,1,25.0,1027,41.08,1280,720,video,Female_P1042780_720,yawning,0.0,41.08,0,1027,False,False,False,data\processed\videos_std\P1042780_720.mp4,train
P1042788_720.mp4,data\raw\DSM_Dataset-HDTV720\Yawning\Female\HDTV720\P1042788_720.mp4,1,25.0,1015,40.6,1280,720,video,Female_P1042788_720,yawning,0.0,40.6,0,1015,False,False,False,data\processed\videos_std\P1042788_720.mp4,val
